NAME_2,NAME_0,NAME_1,VARNAME_2,NL_NAME_1,NL_NAME_2,HASC_2,TYPE_2,CC_2,GID_0,GID_1,GID_2,ENGTYPE_2,fid
"Magura","Bangladesh","Khulna","","","","BD.KH.ST","Zila","4055","BGD","BGD.4_1","BGD.4.7_1","Distict",41
"Meherpur","Bangladesh","Khulna","","","","BD.KH.ST","Zila","4057","BGD","BGD.4_1","BGD.4.8_1","Distict",42
"Narail","Bangladesh","Khulna","","","","BD.KH.ST","Zila","4065","BGD","BGD.4_1","BGD.4.9_1","Distict",43
"Satkhira","Bangladesh","Khulna","","","","BD.KH.ST","Zila","4087","BGD","BGD.4_1","BGD.4.10_1","Distict",44
"Bogra","Bangladesh","Rajshahi","","","","BD.RS.SR","Zila","5010","BGD","BGD.5_1","BGD.5.1_1","Distict",45
"Joypurhat","Bangladesh","Rajshahi","","","","BD.RS.SR","Zila","5038","BGD","BGD.5_1","BGD.5.2_1","Distict",46
"Naogaon","Bangladesh","Rajshahi","","","","BD.RS.SR","Zila","5064","BGD","BGD.5_1","BGD.5.3_1","Distict",47
"Natore","Bangladesh","Rajshahi","","","","BD.RS.SR","Zila","5069","BGD","BGD.5_1","BGD.5.4_1","Distict",48
"Nawabganj","Bangladesh","Rajshahi","","","","BD.RS.SR","Zila","5070","BGD","BGD.5_1","BGD.5.5_1","Distict",49
"Pabna","Bangladesh","Rajshahi","","","","BD.RS.SR","Zila","5076","BGD","BGD.5_1","BGD.5.6_1","Distict",50
"Rajshahi","Bangladesh","Rajshahi","","","","BD.RS.SR","Zila","5081","BGD","BGD.5_1","BGD.5.7_1","Distict",51
"Sirajganj","Bangladesh","Rajshahi","","","","BD.RS.SR","Zila","5088","BGD","BGD.5_1","BGD.5.8_1","Distict",52
"Dinajpur","Bangladesh","Rangpur","","","","BD.RP.TH","Zila","5527","BGD","BGD.6_1","BGD.6.1_1","Distict",53
"Gaibandha","Bangladesh","Rangpur","","","","BD.RP.TH","Zila","5532","BGD","BGD.6_1","BGD.6.2_1","Distict",54
"Kurigram","Bangladesh","Rangpur","","","","BD.RP.TH","Zila","5549","BGD","BGD.6_1","BGD.6.3_1","Distict",55
"Lalmonirhat","Bangladesh","Rangpur","","","","BD.RP.TH","Zila","5552","BGD","BGD.6_1","BGD.6.4_1","Distict",56
"Nilphamari","Bangladesh","Rangpur","","","","BD.RP.TH","Zila","5573","BGD","BGD.6_1","BGD.6.5_1","Distict",57
"Panchagarh","Bangladesh","Rangpur","","","","BD.RP.TH","Zila","5577","BGD","BGD.6_1","BGD.6.6_1","Distict",58
"Rangpur","Bangladesh","Rangpur","","","","BD.RP.TH","Zila","5585","BGD","BGD.6_1","BGD.6.7_1","Distict",59
"Thakurgaon","Bangladesh","Rangpur","","","","BD.RP.TH","Zila","5594","BGD","BGD.6_1","BGD.6.8_1","Distict",60
"Habiganj","Bangladesh","Sylhet","","","","BD.SY.SL","Zila","6036","BGD","BGD.7_1","BGD.7.1_1","Distict",61
"Maulvibazar","Bangladesh","Sylhet","","","","BD.SY.SL","Zila","6058","BGD","BGD.7_1","BGD.7.2_1","Distict",62
"Sunamganj","Bangladesh","Sylhet","","","","BD.SY.SL","Zila","6090","BGD","BGD.7_1","BGD.7.3_1","Distict",63
"Sylhet","Bangladesh","Sylhet","","","","BD.SY.SL","Zila","6091","BGD","BGD.7_1","BGD.7.4_1","Distict",64
