NAME_2,NAME_0,NAME_1,VARNAME_2,NL_NAME_1,NL_NAME_2,HASC_2,TYPE_2,CC_2,GID_0,GID_1,GID_2,ENGTYPE_2,cases
"Munshiganj","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3059","BGD","BGD.3_1","BGD.3.9_1","Distict",1130
"Mymensingh","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3061","BGD","BGD.3_1","BGD.3.10_1","Distict",616
"Narayanganj","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3067","BGD","BGD.3_1","BGD.3.11_1","Distict",2682
"Narsingdi","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3068","BGD","BGD.3_1","BGD.3.12_1","Distict",194
"Netrakona","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3072","BGD","BGD.3_1","BGD.3.13_1","Distict",275
"Rajbari","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3082","BGD","BGD.3_1","BGD.3.14_1","Distict",101
"Shariatpur","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3086","BGD","BGD.3_1","BGD.3.15_1","Distict",157
"Sherpur","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3089","BGD","BGD.3_1","BGD.3.16_1","Distict",127
"Tangail","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3093","BGD","BGD.3_1","BGD.3.17_1","Distict",55
"Bagerhat","Bangladesh","Khulna","","","","BD.KH.ST","Zila","4001","BGD","BGD.4_1","BGD.4.1_1","Distict",59
"Chuadanga","Bangladesh","Khulna","","","","BD.KH.ST","Zila","4018","BGD","BGD.4_1","BGD.4.2_1","Distict",111
"Jessore","Bangladesh","Khulna","","","","BD.KH.ST","Zila","4041","BGD","BGD.4_1","BGD.4.3_1","Distict",166
"Jhenaidah","Bangladesh","Khulna","","","","BD.KH.ST","Zila","4044","BGD","BGD.4_1","BGD.4.4_1","Distict",59
"Khulna","Bangladesh","Khulna","","","","BD.KH.ST","Zila","4047","BGD","BGD.4_1","BGD.4.5_1","Distict",187
"Kushtia","Bangladesh","Khulna","","","","BD.KH.ST","Zila","4050","BGD","BGD.4_1","BGD.4.6_1","Distict",133
"Magura","Bangladesh","Khulna","","","","BD.KH.ST","Zila","4055","BGD","BGD.4_1","BGD.4.7_1","Distict",44
"Meherpur","Bangladesh","Khulna","","","","BD.KH.ST","Zila","4057","BGD","BGD.4_1","BGD.4.8_1","Distict",32
"Narail","Bangladesh","Khulna","","","","BD.KH.ST","Zila","4065","BGD","BGD.4_1","BGD.4.9_1","Distict",35
"Satkhira","Bangladesh","Khulna","","","","BD.KH.ST","Zila","4087","BGD","BGD.4_1","BGD.4.10_1","Distict",54
"Bogra","Bangladesh","Rajshahi","","","","BD.RS.SR","Zila","5010","BGD","BGD.5_1","BGD.5.1_1","Distict",269
"Joypurhat","Bangladesh","Rajshahi","","","","BD.RS.SR","Zila","5038","BGD","BGD.5_1","BGD.5.2_1","Distict",183
"Naogaon","Bangladesh","Rajshahi","","","","BD.RS.SR","Zila","5064","BGD","BGD.5_1","BGD.5.3_1","Distict",212
"Natore","Bangladesh","Rajshahi","","","","BD.RS.SR","Zila","5069","BGD","BGD.5_1","BGD.5.4_1","Distict",67
"Nawabganj","Bangladesh","Rajshahi","","","","BD.RS.SR","Zila","5070","BGD","BGD.5_1","BGD.5.5_1","Distict",66
"Pabna","Bangladesh","Rajshahi","","","","BD.RS.SR","Zila","5076","BGD","BGD.5_1","BGD.5.6_1","Distict",118
"Rajshahi","Bangladesh","Rajshahi","","","","BD.RS.SR","Zila","5081","BGD","BGD.5_1","BGD.5.7_1","Distict",82
"Sirajganj","Bangladesh","Rajshahi","","","","BD.RS.SR","Zila","5088","BGD","BGD.5_1","BGD.5.8_1","Distict",43
"Dinajpur","Bangladesh","Rangpur","","","","BD.RP.TH","Zila","5527","BGD","BGD.6_1","BGD.6.1_1","Distict",182
"Gaibandha","Bangladesh","Rangpur","","","","BD.RP.TH","Zila","5532","BGD","BGD.6_1","BGD.6.2_1","Distict",69
"Kurigram","Bangladesh","Rangpur","","","","BD.RP.TH","Zila","5549","BGD","BGD.6_1","BGD.6.3_1","Distict",75
"Lalmonirhat","Bangladesh","Rangpur","","","","BD.RP.TH","Zila","5552","BGD","BGD.6_1","BGD.6.4_1","Distict",43
"Nilphamari","Bangladesh","Rangpur","","","","BD.RP.TH","Zila","5573","BGD","BGD.6_1","BGD.6.5_1","Distict",138
"Panchagarh","Bangladesh","Rangpur","","","","BD.RP.TH","Zila","5577","BGD","BGD.6_1","BGD.6.6_1","Distict",52
"Rangpur","Bangladesh","Rangpur","","","","BD.RP.TH","Zila","5585","BGD","BGD.6_1","BGD.6.7_1","Distict",516
"Thakurgaon","Bangladesh","Rangpur","","","","BD.RP.TH","Zila","5594","BGD","BGD.6_1","BGD.6.8_1","Distict",74
"Habiganj","Bangladesh","Sylhet","","","","BD.SY.SL","Zila","6036","BGD","BGD.7_1","BGD.7.1_1","Distict",175
"Maulvibazar","Bangladesh","Sylhet","","","","BD.SY.SL","Zila","6058","BGD","BGD.7_1","BGD.7.2_1","Distict",116
"Sunamganj","Bangladesh","Sylhet","","","","BD.SY.SL","Zila","6090","BGD","BGD.7_1","BGD.7.3_1","Distict",217
"Sylhet","Bangladesh","Sylhet","","","","BD.SY.SL","Zila","6091","BGD","BGD.7_1","BGD.7.4_1","Distict",676
