NAME_2,NAME_0,NAME_1,VARNAME_2,NL_NAME_1,NL_NAME_2,HASC_2,TYPE_2,CC_2,GID_0,GID_1,GID_2,ENGTYPE_2,cases
"Barguna","Bangladesh","Barisal","","","","BD.BA.PR","Zila","1004","BGD","BGD.1_1","BGD.1.1_1","Distict",81
"Barisal","Bangladesh","Barisal","","","","BD.BA.PR","Zila","1006","BGD","BGD.1_1","BGD.1.2_1","Distict",183
"Bhola","Bangladesh","Barisal","","","","BD.BA.PR","Zila","1009","BGD","BGD.1_1","BGD.1.3_1","Distict",73
"Jhalokati","Bangladesh","Barisal","","","","BD.BA.PR","Zila","1042","BGD","BGD.1_1","BGD.1.4_1","Distict",41
"Patuakhali","Bangladesh","Barisal","","","","BD.BA.PR","Zila","1078","BGD","BGD.1_1","BGD.1.5_1","Distict",89
"Pirojpur","Bangladesh","Barisal","","","","BD.BA.PR","Zila","1079","BGD","BGD.1_1","BGD.1.6_1","Distict",40
"Bandarban","Bangladesh","Chittagong","","","","BD.CG.PC","Zila","2003","BGD","BGD.2_1","BGD.2.1_1","Distict",49
"Brahamanbaria","Bangladesh","Chittagong","","","","BD.CG.PC","Zila","2012","BGD","BGD.2_1","BGD.2.2_1","Distict",195
"Chandpur","Bangladesh","Chittagong","","","","BD.CG.PC","Zila","2013","BGD","BGD.2_1","BGD.2.3_1","Distict",255
"Chittagong","Bangladesh","Chittagong","","","","BD.CG.PC","Zila","2015","BGD","BGD.2_1","BGD.2.4_1","Distict",3114
"Comilla","Bangladesh","Chittagong","","","","BD.CG.PC","Zila","2019","BGD","BGD.2_1","BGD.2.5_1","Distict",1206
"Cox'S Bazar","Bangladesh","Chittagong","","","","BD.CG.PC","Zila","2022","BGD","BGD.2_1","BGD.2.6_1","Distict",969
"Feni","Bangladesh","Chittagong","","","","BD.CG.PC","Zila","2030","BGD","BGD.2_1","BGD.2.7_1","Distict",290
"Khagrachhari","Bangladesh","Chittagong","","","","BD.CG.PC","Zila","2046","BGD","BGD.2_1","BGD.2.8_1","Distict",47
"Lakshmipur","Bangladesh","Chittagong","","","","BD.CG.PC","Zila","2051","BGD","BGD.2_1","BGD.2.9_1","Distict",144
"Noakhali","Bangladesh","Chittagong","","","","BD.CG.PC","Zila","2075","BGD","BGD.2_1","BGD.2.10_1","Distict",865
"Rangamati","Bangladesh","Chittagong","","","","BD.CG.PC","Zila","2084","BGD","BGD.2_1","BGD.2.11_1","Distict",68
"Dhaka","Bangladesh","Dhaka","Daca|Dacca","","","BD.DH.DH","Zila","3026","BGD","BGD.3_1","BGD.3.1_1","Distict",1558
"Faridpur","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3029","BGD","BGD.3_1","BGD.3.2_1","Distict",425
"Gazipur","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3033","BGD","BGD.3_1","BGD.3.3_1","Distict",1165
"Gopalganj","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3035","BGD","BGD.3_1","BGD.3.4_1","Distict",315
"Jamalpur","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3039","BGD","BGD.3_1","BGD.3.5_1","Distict",306
"Kishoreganj","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3048","BGD","BGD.3_1","BGD.3.6_1","Distict",360
"Madaripur","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3054","BGD","BGD.3_1","BGD.3.7_1","Distict",224
"Manikganj","Bangladesh","Dhaka","","","","BD.DH.TA","Zila","3056","BGD","BGD.3_1","BGD.3.8_1","Distict",167
